,English,Hebrew
176,"['association', 'society', '(literary, Biblical) bundle']",אגדה
177,['(military) division'],אגדה
178,"['fanciful', 'fictitious', 'mythical', 'renowned', 'legendary']",אגדי
179,"['legendary', 'fabled']",אגדתי
180,['societal'],אגדתי
181,['(military) divisional'],אגדתי
182,['ego'],אגו
183,['egoism'],אגואיזם
184,['egoist'],אגואיסט
185,['egoistic'],אגואיסטי
186,"['bundled', 'combined']",אגוד
187,"['organization', 'union']",אגוד
188,['thumb'],אגודל
189,['nut (fruit)'],אגוז
190,['peanut'],אגוז אדמה
191,['cashew nut'],אגוז קשיו
192,['(business and commerce) securitization'],אגוח
193,['egomania'],אגומניה
194,['agonist'],אגוניסט
195,"['(military) outflanking', 'flanking']",אגוף
196,['egocentric'],אגוצנטרי
197,['egocentricity'],אגוצנטריות
198,"['accumulated', 'amassed']",אגור
199,"['Agora (1/100 of Israeli shekel)', '(literary) small coin', 'penny']",אגורה
200,['agoraphobia'],אגורפוביה
201,['(colloquial) exhaust (of vehicle)'],אגזוז
202,['(rare) gill (of fish)'],אגיד
203,['Egyptologist'],אגיפטולוג
204,['Egyptology'],אגיפטולוגיה
205,"['hoarding', 'accumulation']",אגירה
206,['droplet'],אגל
207,['agglutination'],אגלוטינציה
208,['lake'],אגם
209,['Agam (Hebrew name)'],אגם
210,"['to impound water into a lake', 'to pool resources']",אגם
211,"['reed', 'bulrush (also: bullrush)']",אגמון
212,['small lake'],אגמון
213,"['bowl', 'basin', '(geography) basin', 'pelvis']",אגן
214,['flange'],אגן
215,['Mediterranean basin'],אגן הים התיכון
216,['drainage basin'],אגן הקוות
217,['catchment area'],אגן נקוז
218,['agnostic'],אגנוסטי
219,['agnosticism'],אגנוסטיות
220,['agnosticism'],אגנוסטיציזם
221,['agnostic'],אגנוסטיקן
222,"['shower tray', 'shower basin']",אגנית
223,"['pear', 'pear tree']",אגס
224,"['department', 'branch', 'wing (building)', '(military) flank', '(mathematics) member (of equation)', '(talmudic) wing (bird)']",אגף
225,['to outflank'],אגף
226,"['to outflank', 'to flank']",אגף
227,['to be outflanked'],אגף
228,['(military) Intelligence branch'],אגף המודיעין
229,"['flank', 'flanking']",אגפי
230,['agapanthus (plant)'],אגפנתוס
231,"['to accumulate', 'to hoard']",אגר
232,['agar (gelatinous substance)'],אגר
233,['aggregate'],אגרגט
234,['(computing) aggregator'],אגרגטור
235,['aggregation'],אגרגציה
236,"['fee', 'toll']",אגרה
237,['agro-'],אגרו
238,['agroecology'],אגרואקולוגיה
239,['egg roll'],אגרול
240,"['lexicon', 'thesaurus', 'dictionary']",אגרון
241,"['letter writing manual', 'correspondence text book']",אגרון
242,['agronomist'],אגרונום
243,"['agronomically', 'agriculturally']",אגרונומי
244,"['agronomy', 'agriculture']",אגרונומיה
245,"['fist', 'punch']",אגרוף
246,"['boxing', 'making a fist']",אגרוף
247,"['boxing', 'making a fist']",אגרוף
248,"['boxing', 'making a fist']",אגרוף
249,"['boxing', 'making a fist']",אגרוף
250,"['Thai boxing', 'kick boxing']",אגרוף תילנדי
251,"['brass knuckles', 'knuckle duster', 'boxer']",אגרופן
252,['vase'],אגרטל
253,['collector'],אגרן
254,['(computing) aggregator'],אגרן
255,"['aggressive', 'belligerent']",אגרסיבי
256,"['aggression', 'belligerence']",אגרסיביות
257,"['aggression', 'belligerence']",אגרסיה
258,['to make a fist'],אגרף
259,['agrarian'],אגררי
260,"['letter', 'missive']",אגרת
261,"['bond', 'debenture']",אגרת חוב
262,"['vapor', 'fume', 'steam', 'mist']",אד
263,['ad hoc'],אד הוק
264,"['to vaporize', 'evaporate', 'to simmer', 'poach']",אדה
265,"['to be vaporized', 'to evaporate']",אדה
266,['adhesion'],אדהזיה
267,"['ripple', 'wavelet']",אדוה
268,['Advah (Hebrew name)'],אדוה
269,"['evaporation', 'vaporization', 'simmering', 'poaching']",אדוי
270,"['Edom (Biblical country)', 'Edomites (Biblical nation)']",אדום
271,['Edomite'],אדומי
272,['Edomite (noun)'],אדומי
273,"['(archaic) Mr.', 'master', 'lord', 'אדוני - Sir']",אדון
274,['Adventist'],אדונטיסט
275,['Adonis'],אדוניס
276,"['(literary) lady', 'mistress']",אדונית
277,"['our master', 'teacher and rabbi']",אדוננו מורנו ורבנו
278,"['(archaic) religious', 'observant', 'God-fearing', 'fervent', 'intense', 'enthusiastic']",אדוק
279,['passivation'],אדוש
280,['adiabatic'],אדיאבטי
281,"['polite', 'courteous', 'obliging']",אדיב
282,"['politeness', 'courtesy', 'mannerliness']",אדיבות
283,['additive'],אדיטיבי
284,['additivity'],אדיטיביות
285,"['steam', 'fumes', 'vapor']",אדים
286,['Edinburgh'],אדינבורו
287,['Addis Ababa (also: Addis Abeba)'],אדיס אבבה
288,['Oedipus'],אדיפוס
289,['oedipal'],אדיפלי
290,"['devotion', 'fervor', 'allegiance', 'piety', 'godliness', 'devoutness']",אדיקות
291,"['great', 'powerful', 'mighty', '(slang) marvelous', 'wonderful', 'impressive']",אדיר
292,['Adir (Hebrew name)'],אדיר
293,"['might', 'strength', 'power']",אדירות
294,"['apathetic', 'indifferent', '(chemistry) inert']",אדיש
295,"['apathy', 'indifference']",אדישות
296,['Adelaide (city)'],אדליד
297,['red'],אדם
298,['red (noun)'],אדם
299,"['man', 'person', 'human being', 'someone', 'somebody', 'האדם - mankind', 'humanity']",אדם
300,['Adam (Hebrew name)'],אדם
301,"['red', '(colloquial) Lipstick', 'ruby (precious stone)']",אדם
302,['to become red'],אדם
303,"['reddish', 'red-like']",אדמדם
304,['redness'],אדמדמות
305,"['(medicine) roseola infantum', 'exanthem subitum', '(archaic) rubella', 'German measles']",אדמדמת
306,"['land', 'earth', 'soil', 'ground (noun)', 'plot (land)']",אדמה
307,"['ruddy', 'reddish']",אדמומי
308,"['redness', 'ruddiness']",אדמומיות
309,['(literary) redness'],אדמומית
310,['Edmonton (city)'],אדמונטון
311,"['ruddy', 'rubicund', '(literary) red']",אדמוני
312,['peony'],אדמונית
313,['redness'],אדמימות
314,['administrator'],אדמיניסטרטור
315,['administrative'],אדמיניסטרטיבי
316,['administration'],אדמיניסטרציה
317,['admiral'],אדמירל
318,['admiralship'],אדמירלות
319,"['Admiralty', 'The Admiralty']",אדמירליות
320,"['edamame', 'green soybeans']",אדממה
321,['erythema'],אדמנת
322,"['rubella', 'German measles']",אדמת
323,"['windowsill', 'railway sleeper', '(flowery) base', 'foundation']",אדן
324,['adenoma (tumor)'],אדנומה
325,"['authority', 'rule (noun)', 'reign']",אדנות
326,"['ruling', 'sovereign']",אדנותי
327,"['God', 'the Lord']",אדני
328,"['planter', 'window box']",אדנית
329,['adaptogen (anti-stress herb)'],אדפטוגן
330,['adaptor'],אדפטור
331,['adaptive'],אדפטיבי
332,['adaptation'],אדפטציה
333,['adequate'],אדקוטי
334,['Adar (sixth month in Hebrew calendar)'],אדר
335,['maple (tree)'],אדר
336,['hide (of stuffed animal)'],אדר
337,['(Aramaic) meeting (of Kabbala scholars)'],אדרא
338,"['on the contrary', 'as a matter of fact', 'why not? good idea!']",אדרבה
339,"['fishbone', 'fish skeleton']",אדרה
340,['Adriatic'],אדריאתי
341,"['architect', 'creator', 'prime mover', 'originator']",אדריכל
342,['architecture'],אדריכלות
343,['architectural'],אדריכלי
344,['adrenal'],אדרנל
345,"['adrenaline (also: adrenalin)', 'zest', 'energy', 'verve', 'vitality']",אדרנלין
346,"['robe', 'cloak']",אדרת
347,['apathetic'],אדשוני
348,"['ah! I see', 'eh?']",אה
349,"['to like', 'to love']",אהב
350,"['love (noun)', 'devotion', 'fondness', 'passion', 'באהבה - with love']",אהבה
351,['flirtation'],אהבהבים
352,"['(slang) fool', 'idiot']",אהבל
353,"['to sympathize', 'to side with']",אהד
354,['Ohad (Hebrew name)'],אהד
355,"['(flowery) interrelated', 'mutually']",אהדדי
356,"['sympathy', 'amity', 'friendliness', 'fondness']",אהדה
357,"['Aha!', '(flowery) Oh no!', 'Woe is me!']",אהה
358,['(rare) to wail'],אהה
359,"['beloved', 'favorite', 'popular']",אהוב
360,['beloved (male)'],אהוב
361,"['beloved (female)', 'lover', 'אהובתי - My dearest']",אהובה
362,['Ehud (Hebrew name)'],אהוד
363,"['admired', 'cherished']",אהוד
364,['lampshade'],אהיל
365,['aloe (plant)'],אהל
366,['tent'],אהל
367,['(slang) (Arabic) hi! hello!'],אהלן
368,"['Aharon', 'Aaron (Hebrew name)']",אהרן
369,['or'],או
370,['(colloquial) O.K.'],או קי
371,['oasis'],אואזיס
372,"['ob', 'a ghost']",אוב
373,"['lost', 'missing']",אובד
374,['obese'],אובזי
375,['obesity'],אובזיות
376,['object (noun)'],אוביקט
377,['(optics) objective'],אוביקטיב
378,['objective'],אוביקטיבי
379,['objectivity'],אוביקטיביות
380,['objectification'],אוביקטיפיקציה
381,['oval'],אובלי
382,['(music) obbligato'],אובליגטו
383,['obligatory'],אובליגטורי
384,"['bond', 'debenture', 'obligation', 'commitment']",אובליגציה
385,['obelisk'],אובליסק
386,['obsessive'],אובססיבי
387,['obsessiveness'],אובססיביות
388,['obsession'],אובססיה
389,['overdraft'],אוברדרפט
390,['overall (clothing)'],אוברול
391,"['(colloquial) overhaul (engine, appliance)']",אוברול
392,['overture'],אוברטורה
393,['(talmudic) sumac'],אוג
394,['(grammar) copula'],אוגד
395,"['encircling', 'wrap-around']",אוגד
396,"['(colloquial) ring binder', 'file', '(computing) folder']",אוגדן
397,['August'],אוגוסט
398,['augmentation'],אוגמנטציה
399,['Uganda'],אוגנדה
400,['Ugandan'],אוגנדי
401,['Ugandan'],אוגנדי
402,['hamster'],אוגר
403,['(computing) register'],אוגר
404,['Ugarit'],אוגרית
405,['Ugaritic (language)'],אוגריתית
406,"['firebrand', 'partly burned wood']",אוד
407,['odeum'],אודאון
408,['ode'],אודה
409,"['about', 'with regard to', 'concerning']",אודות
410,['Udi (Hebrew name)'],אודי
411,['audio'],אודיו
412,['audio-'],אודיו
413,['(medicine) audiologist'],אודיולוג
414,['audiometer'],אודיומטר
415,['auditorium'],אודיטוריום
416,['odyssey'],אודיסאה
417,['(colloquial) audition'],אודישן
418,['Odessa (Ukrainian city)'],אודסה
419,"['(flowery) to desire', 'to want']",אוה
420,"['(flowery) lust', 'passion']",אוה
421,"['lover', 'lover of', 'aficionado', 'friend', 'comrade']",אוהב
422,"['supporter', 'adherent', '(sport) fan']",אוהד
423,"['supportive', 'supporting']",אוהד
424,"['Wow! Gosh!', 'Oh boy!']",אוהו
425,['Ohio'],אוהיו
426,"['(flowery) desire', 'craving', 'yearning', '(linguistics) optative']",אווי
427,"['goose', 'gander (as opposed to female goose)']",אוז
428,['Uzbek (person)'],אוזבקי
429,['Uzbek'],אוזבקי
430,['Uzbekistan'],אוזבקיסטן
431,['Uzbek (language)'],אוזבקית
432,['goose (female)'],אוזה
433,['ouzo (liqueur)'],אוזו
434,['ozone'],אוזון
435,['gosling'],אוזון
436,['(slang) chick (young girl)'],אוזנת
437,['eagle owl'],אוח
438,['(colloquial) automobile'],אוטו
439,"['auto- (autoemancipation, autosemantic, autorotation)']",אוטו
440,['(medicine) autoimmune'],אוטואימוני
441,['(medicine) autoimmunity'],אוטואימוניות
442,['auto-emancipation'],אוטואמנציפציה
443,"['bus', 'coach (British)']",אוטובוס
444,['autobiographer'],אוטוביוגרף
445,['autobiographical'],אוטוביוגרפי
446,['autobiography'],אוטוביוגרפיה
447,"['autodidact', 'self-educated person']",אוטודידקט
448,['Ottawa'],אוטוה
449,['(biology) autotroph (an organism capable of synthesizing its own food)'],אוטוטרוף
450,['(biology) autotrophic'],אוטוטרופי
451,['automobile'],אוטומוביל
452,"['automat', 'vending machine', 'automaton']",אוטומט
453,"['automatic', 'automated', 'involuntary', 'instinctive', 'inevitable', 'inescapable']",אוטומטי
454,['automatically'],אוטומטית
455,"['automation', 'mechanization']",אוטומציה
456,"['autonomous', 'independent']",אוטונומי
457,['autonomy'],אוטונומיה
458,['autosuggestion'],אוטוסוגסטיה
459,"['(Italian) autostrada', 'motorway', 'freeway']",אוטוסטרדה
460,['otoscope'],אוטוסקופ
461,['utopian'],אוטופי
462,['utopia'],אוטופיה
463,['utopian (person) (noun)'],אוטופיסט
464,"['autoclave', 'sterilizer']",אוטוקלב
465,['autocrat'],אוטוקרט
466,['autocratic'],אוטוקרטי
467,['autocracy'],אוטוקרטיה
468,['authoritarian'],אוטוריטרי
469,['autism'],אוטיזם
470,['(Psychiatry) autistic person'],אוטיסט
471,['autistic'],אוטיסטי
472,['(computing) avatar'],אוטר
473,['autarkic (also: autarchic)'],אוטרקי
474,['autarky (also: autarchy)'],אוטרקיה
475,"['oh', 'ah', 'wow', 'oh my', 'ouch']",אוי
476,"['enemy', 'foe', 'opponent', 'rival']",אויב
477,"['enmity', 'hatred', 'hostility']",אויבות
478,"['Uigur', 'Uigurean']",אויגורי
479,['Uigur (language)'],אויגורית
480,"['(flowery) oh', 'ah', 'oh my']",אויה
481,['avionics'],אויוניקה
482,"['(flowery) fool', 'stupid person']",אויל
483,"['stupidity', 'foolishness']",אוילות
484,"['stupid', 'foolish']",אוילי
485,"['air', 'באוויר - (slang) Unrealistic', 'impracticable', 'באוויר - (colloquial) On the air (broadcast)']",אויר
486,['airman'],אויראי
487,"['atmosphere', 'mood', 'ambience', 'aura']",אוירה
488,['aero-'],אוירו
489,['aerobatic'],אוירובטי
490,['aerobatics'],אוירובטיקה
491,['aerodynamic'],אוירודינמי
492,['aerodynamics'],אוירודינמיקה
493,"['airplane', 'aircraft']",אוירון
494,['aeronautical'],אוירונאוטי
495,['aeronautics'],אוירונאוטיקה
496,['aerial'],אוירי
497,['air fleet'],אויריה
498,['aerobic'],אוירני
499,['ochlocracy'],אוכלוקרטיה
500,['ochre (also: ocher)'],אוכרה
501,['ultimatum'],אולטימטום
502,['ultimate'],אולטימטיבי
503,['(Latin) ultra-'],אולטרה
504,['ultrasound'],אולטרסאונד
505,"['perhaps', 'maybe']",אולי
506,['oligopoly'],אוליגופול
507,['oligarch'],אוליגרך
508,['oligarchic'],אוליגרכי
509,['oligarchy'],אוליגרכיה
510,['Olympus'],אולימפוס
511,['Olympic'],אולימפי
512,['Olympic games'],אולימפיאדה
513,"['hall', 'theater', 'vestibule']",אולם
514,"['however', 'but', 'nevertheless']",אולם
515,['ulmus (elm)'],אולמוס
516,['Ulan Bator (capital of Mongolia)'],אולן בטור
517,['(medicine) ulcer'],אולקוס
518,"['penknife', 'pocket knife']",אולר
519,"['stupidity', 'foolishness']",אולת
520,['(electricity) ohm'],אום
521,['ombudsman'],אומבודסמן
522,['Omega - the twenty-fourth (last) letter in the Greek alphabet'],אומגה
523,"['zip-line', '(Australian) flying fox (a cable mechanism for transportation across a river or gorge', 'a similar mechanism down which people slide)']",אומגה
524,['omicron (the fifteenth letter of the Greek alphabet)'],אומיקרון
525,['omelet'],אומלט
526,"['umami', 'the fifth taste', 'savory taste']",אוממי
527,['foster parent'],אומן
528,"['(architecture) pier', 'pillar']",אומנה
529,['omnivore'],אומניבור
530,['omnipotent'],אומניפוטנטי
531,['omnipotence'],אומניפוטנטיות
532,"['nanny', 'nursemaid', 'nurse']",אומנת
533,"['someone who said something', 'the one who said']",אומר
534,"['(literary) power', 'strength', 'vitality', 'sexual potency']",און
535,"['evil', 'wickedness']",און
536,['evangelical'],אונגלי
537,['gospel'],אונגליון
538,['evangelism'],אונגליזם
539,['avant-garde'],אונגרד
540,['avant-garde'],אונגרדי
541,['onomatopoeia'],אונומטופאה
542,['onomatopoeic'],אונומטופאי
543,['onomatopoeia'],אונומטופיה
544,['onomastic (relating to names)'],אונומסטי
545,['onomasticon'],אונומסטיקון
546,['sexual potency'],אונות
547,['(biology) ontogenesis'],אונטוגנזה
548,['ontological'],אונטולוגי
549,['ontology'],אונטולוגיה
550,['Ontario'],אונטריו
551,['University'],אוניברסיטאי
552,['university'],אוניברסיטה
553,['universal'],אוניברסלי
554,['universality'],אוניברסליות
555,['universalism'],אוניברסליזם
556,['unitary'],אוניטרי
557,['online'],אונלין
558,"['to masturbate', '(slang) to laze', 'to be indolent']",אונן
559,['(rare) mourner'],אונן
560,"['masturbation', '(slang) Indolence', 'slapdash work']",אוננות
561,"['UNESCO (United Nations Educational Scientific, Cultural Organization)']",אונסקו
562,['oncology'],אונקולוגיה
563,['ounce'],אונקיה
564,['osteoporosis'],אוסטאופורוזיס
565,['osteopath'],אוסטאופת
566,['osteopathy'],אוסטאופתיה
567,['Austro-'],אוסטרו
568,['Austrian (person)'],אוסטרי
569,['Austrian'],אוסטרי
570,['Austria'],אוסטריה
571,['Australian (person)'],אוסטרלי
572,['Australian'],אוסטרלי
573,['Australia'],אוסטרליה
574,['ostracon'],אוסטרקון
575,['oscilloscope'],אוסילוסקופ
576,['oscillator'],אוסילטור
577,['Oslo'],אוסלו
578,['osmosis'],אוסמוזה
579,['osmotic'],אוסמוטי
580,['osmium'],אוסמיום
581,['oscilloscope'],אוסצילוסקופ
582,['Osaka'],אוסקה
583,['Oscar (Academy award)'],אוסקר
584,['(colloquial) Ugh! Phew!'],אוף
585,['baker'],אופה
586,"['opposition (Political)', 'opposition', 'antagonism']",אופוזיציה
587,"['oppositional', 'opposing', 'objecting']",אופוזיציוני
588,['oppositionist'],אופוזיציונר
589,['opus'],אופוס
590,['opossum'],אופוסום
591,['opportunism'],אופורטוניזם
592,['opportunist'],אופורטוניסט
593,['opportunistic'],אופורטוניסטי
594,['euphoric'],אופורי
595,['euphoria'],אופוריה
596,['optometry'],אופטומטריה
597,['optometrist'],אופטומטריסט
598,['optical'],אופטי
599,['optimum'],אופטימום
600,['optimistic'],אופטימי
601,['optimism'],אופטימיות
602,['optimism'],אופטימיזם
603,['optimization'],אופטימיזציה
604,['optimist'],אופטימיסט
605,['optimistic (person)'],אופטימיסטי
606,['optimal'],אופטימלי
607,['optician'],אופטיקאי
608,['optics'],אופטיקה
609,['opiate'],אופיאט
610,['opium'],אופיום
611,['Ofir (Hebrew name)'],אופיר
612,['Ofira (also: Ophira) (Hebrew name)'],אופירה
613,['opal (gemstone)'],אופל
614,"['wheel', '(theology) Ophan', 'angel']",אופן
615,"['motorbike', 'motorcycle']",אופנוע
616,"['motor cyclist', 'biker']",אופנוען
617,['-wheeled'],אופני
618,['bicycle'],אופנים
619,"['offensive', 'attacking']",אופנסיבי
620,['(colloquial) oops!'],אופס
621,['offset printing'],אופסט
622,['option'],אופציה
623,['optional'],אופציונלי
624,['operatic'],אופראי
625,['opera'],אופרה
626,['(microbiology) operon'],אופרון
627,['operetta'],אופרטה
628,['operator'],אופרטור
629,"['operational', 'functional', 'operative']",אופרטיבי
630,['(mathematics and computing) operand'],אופרנד
631,['operant (noun)'],אופרנט
632,['operant'],אופרנטי
633,"['campaign', 'operation']",אופרציה
634,['operational'],אופרציונלי
635,['ophthalmologic'],אופתלמולוגי
636,['ophthalmology'],אופתלמולוגיה
637,['ocelot'],אוצלוט
638,"['treasure', 'hoard', 'collection', ""apple of one's eye"", 'darling', 'treasury', 'anthology', 'האוצר - The Treasury']",אוצר
639,['curator'],אוצר
640,['vocabulary'],אוצר מלים
641,['curatorship'],אוצרות
642,"['occult (noun)', 'occultism']",אוקולטיזם
643,['Serranus (fish)'],אוקונוס
644,['(music) octave'],אוקטבה
645,['octagon'],אוקטגון
646,['octahedron'],אוקטהדרון
647,['October'],אוקטובר
648,['octophobia'],אוקטופוביה
649,['octet'],אוקטט
650,['octane'],אוקטן
651,['O.K.'],אוקי
652,['oceanography'],אוקיאנוגרפיה
653,['oceanic'],אוקיאני
654,"['Ocean', 'the sea']",אוקינוס
655,"['Northern ocean', 'Arctic ocean']",אוקינוס [ים] הקרח הצפוני
656,['Oceania'],אוקיניה
657,['Oklahoma'],אוקלהומה
658,['Auckland'],אוקלנד
659,['oxide'],אוקסיד
660,['oxymoron'],אוקסימורון
661,['Oxford (noun)'],אוקספורד
662,['Ukraine'],אוקראינה
663,['Ukrainian'],אוקראיני
664,['Ukrainian (person)'],אוקראיני
665,['Ukrainian (language)'],אוקראינית
