,0
219,אוזן
220,האזנה
221,לאזן
222,אוזנית
223,לאזוק
224,שנית
225,שנית
226,שינית
227,שינית
228,אזיקים
229,אזיק
230,אזיקון
231,להתאזר
232,אזור
233,לאזור
234,אזורי
235,להתאזרח
236,אזרח
237,אזרחי
238,אח
239,אח
240,להתאחד
241,התאחדות
242,אחדות
243,שנית
244,שנית
245,שינית
246,שינית
247,איחוד
248,אחיד
249,להאחיד
250,מאוחד
251,האחדה
252,לאחד
253,אחד
254,אחווה
255,אחו
256,אחות
257,לאחוז
258,להיאחז
259,אחוזה
260,אחיזה
261,אחוז
262,שנית
263,שנית
264,שינית
265,שינית
266,לאחזר
267,להתאחות
268,לאחות
269,אחיין
270,אחיינית
271,איחול
272,לאחל
273,איחסון
274,לאחסן
275,אחריות
276,איחור
277,אחור
278,אחר
279,אחורה
280,אחוריים
281,שנית
282,שנית
283,שינית
284,שינית
285,מאחורי
286,אחר
287,אחרון
288,מאוחר
289,אחראי
290,אחורי
291,לאחר
292,להתאחר
293,אחרית
294,אחראי
295,אטב
296,איטי
297,אט
298,להאט
299,אטליז
300,שנית
301,שנית
302,שינית
303,שינית
304,לאטום
305,אטימות
306,איטום
307,אטום
308,להיאטם
309,אטריה
310,אי
311,אויב
312,איבה
313,איבר
314,התאיידות
315,לאייד
316,איה
317,איה
318,איזה
319,שנית
320,שנית
321,שינית
322,שינית
323,איזו
324,אייל
325,איך
326,איכא
327,איכות
328,איכס
329,איכשהו
330,איל
331,אייל
332,אילו
333,אילו
334,אילן
335,אים
336,איום
337,לאיים
338,שנית
339,שנית
340,שינית
341,שינית
342,אימה
343,איום
344,אין
345,לאיין
346,אינטרנט
347,אינסוף
348,אינסופי
349,אינספור
350,איפה
351,איור
352,לאייר
353,אירופה
354,אירופי
355,לאייש
356,איוש
357,שנית
358,שנית
359,שינית
360,שינית
361,אישון
362,לאיית
363,איות
364,איתן
365,איתנות
366,אך
367,להתאכזב
368,מאוכזב
369,לאכזב
370,אכזבה
371,להתאכזר
372,אכזריות
373,אכזרי
374,לאכול
375,להיאכל
376,שנית
377,שנית
378,שינית
379,שינית
380,להאכיל
381,אוכל
382,אכלן
383,האכלה
384,מאכל
385,מאכלת
386,לאכל
387,אכילה
388,אכול
389,מכולת
390,לאכלס
391,להתאכסן
392,לאכסן
393,אכסניה
394,לאכוף
395,שנית
396,שנית
397,שינית
398,שינית
399,אכיפה
400,להיאכף
401,אכפת
402,איכר
403,אל
404,אל
405,אל
406,אלא
407,אלגנטי
408,אלה
409,אלה
410,אלה
411,אלו
412,אלוה
413,אלוהים
414,שנית
415,שנית
416,שינית
417,שינית
418,אלולי
419,אלונקה
420,אלחוט
421,אלחוטי
422,לאלחש
423,אליל
424,אלכוהול
425,אלכסון
426,להיאלם
427,אלימות
428,אלים
429,אילם
430,אלם
431,אלמוג
432,אלמוני
433,שנית
434,שנית
435,שינית
436,שינית
437,להתאלמן
438,אלמן
439,אלמנה
440,אליפות
441,אלף
442,אלוף
443,אלפיים
444,מאלף
445,לאלף
446,להיאלץ
447,אילוץ
448,לאלץ
449,אילתור
450,לאלתר
451,אם
452,שנית
453,שנית
454,שינית
455,שינית
456,אמא
457,אמבטיה
458,לאמוד
459,להיאמד
460,אמיד
461,אמה
462,אמה
463,אמוציונלי
464,לאמלל
465,אומה
466,אום
467,להאמין
468,להתאמן
469,מאמן
470,נאמנות
471,שנית
472,שנית
473,שינית
474,שינית
475,אומנם
476,אומנות
477,אומן
478,אימון
479,אמין
480,אומן
481,אמונה
482,אמן
483,אמון
484,להיאמן
485,לאמן
486,אומנות
487,נאמן
488,אימונית
489,להתאמץ
490,שנית
491,שנית
492,שינית
493,שינית
494,לאמוץ
495,אמיץ
496,מאמץ
497,אומץ
498,אימוץ
499,לאמץ
500,אמור
501,להיאמר
502,להאמיר
503,אמירות
504,אמרה
505,לומר
506,מאמר
507,אמיר
508,האמרה
509,שנית
510,שנית
511,שינית
512,שינית
513,אמש
514,להתאמת
515,אימות
516,אמיתי
517,לאמת
518,אמת
519,אמיתה
520,אמיתות
521,אנא
522,אנדרטה
523,אנו
524,אנוכי
525,אנוכיות
526,אנזים
527,להיאנח
528,שנית
529,שנית
530,שינית
531,שינית
532,להתאנח
533,אנחה
534,אנחנו
535,אנטישמי
536,אנטישמיות
537,אני
538,להתאנות
539,לאנות
540,תאונה
541,תאנייה
542,אנך
543,אנכי
544,מאונך
545,להתאונן
546,לאונן
547,שנית
548,שנית
549,שינית
550,שינית
551,אננס
552,לאנוס
553,להיאנס
554,להיאנק
555,אנרגיה
556,אישיות
557,אישי
558,נשיות
559,אנושות
560,אישית
561,איש
562,אישה
563,אנוש
564,אנושי
565,להאניש
566,שנית
567,שנית
568,שינית
569,שינית
570,אישים
571,נשי
572,אסון
573,אסטרונומיה
574,אסלה
575,להתאסלם
576,אסם
577,להיאסף
578,להתאסף
579,אוסף
580,אסיפה
581,אספן
582,איסוף
583,לאסוף
584,איסור
585,שנית
586,שנית
587,שינית
588,שינית
589,אסור
590,אסיר
591,להיאסר
592,לאסור
593,מאסר
594,אפוא
595,לאפוז
596,להיאפות
597,לאפות
598,אופיין
599,אופי
600,מאפיה
601,אופייני
602,אפיון
603,אפייה
604,שנית
605,שנית
606,שינית
607,שינית
608,אופה
609,אפי
610,מאפה
611,אפילו
612,לאפיין
613,להתאפיין
614,אפיפיור
615,להאפיל
616,איפול
617,אפל
618,אפלה
619,אופן
620,אופנה
621,אופן
622,אופניים
623,שנית
624,שנית
625,שינית
626,שינית
627,לאפנן
628,לאפוס
629,אפס
630,להתאפס
631,אפסי
632,לאפס
633,לאפוף
634,אף
635,אפי
636,אופק
637,להתאפק
638,להאפיר
639,להתאפר
640,איפור
641,אפור
642,שנית
643,שנית
644,שינית
645,שינית
646,אפרורי
647,לאפר
648,מאפרה
649,אפרסק
650,להתאפשר
651,אפשר
652,לאפשר
653,אפשרות
654,אפשרי
655,אצטדיון
656,אצולה
657,אצילות
658,אצל
659,להאציל
660,אציל
661,שנית
662,שנית
663,שינית
664,שינית
665,אצילי
666,נאצל
667,אוצר
668,לאצור
669,אקלים
670,להתאקלם
671,ארובה
672,לארוב
673,ארבה
674,לארוג
675,להיארג
676,ארגמן
677,לארגן
678,להתארגן
679,אירגון
680,שנית
681,שנית
682,שינית
683,שינית
684,ארד
685,אורווה
686,ארוחת בוקר
687,ארוחת ערב
688,ארוחת צוהריים
689,ארון
690,ארונית
691,לארוז
692,ארז
693,אריזה
694,להיארז
695,אורז
696,מארז
697,לארח
698,להתארח
699,שנית
700,שנית
701,שינית
702,שינית
703,אורח
704,ארוחה
705,אורח
706,לארות
707,אריה
708,לארוך
709,להאריך
710,להתארך
711,אריכות
712,אורך
713,ארכה
714,ארוך
715,תאריך
716,ארמון
717,אורן
718,שנית
719,שנית
720,שינית
721,שינית
722,ארנב
723,ארנק
724,להתארס
725,לארס
726,ארוס
727,אירוסין
728,לארע
729,מאורע
730,אירוע
731,ארעיות
732,ארעי
733,ארצי
734,ארץ
735,להאריק
736,הארקה
737,שנית
738,שנית
739,שינית
740,שינית
741,ארקטי
742,לארר
743,לאור
744,ארור
745,אש
746,אשך
747,אשכרה
748,אשל
749,להאשים
750,אשמה
751,אשם
752,לאשום
753,להיאשם
754,אשנב
755,אשף
756,שנית
757,שנית
758,שינית
759,שינית
760,אשפה
761,אשפוז
762,לאשפז
763,להתאשפז
764,אישור
765,אשור
766,אשר
767,מאושר
768,אושר
769,אשרה
770,לאשר
771,אשראי
772,להתאושש
773,לאושש
774,התאוששות
775,שנית
776,שנית
777,שינית
778,שינית
779,לאשש
780,להתאושש
781,את
782,את
783,מאותגר
784,לאתגר
785,אתה
786,אתון
787,לאתחל
788,איתחול
789,אתם
790,אתמול
791,אתן
792,לאתר
793,איתור
794,שנית
795,שנית
796,שינית
797,שינית
798,אתר
799,אתרוג
800,אתת
801,את
802,ב
803,באמצעות
804,מבואס
805,לבאס
806,להתבאס
807,לבאר
808,להתבאר
809,ביאור
810,באר
811,באריכות
812,באוש
813,שנית
814,שנית
815,שינית
816,שינית
817,לבאוש
818,בבהירות
819,בבונג
820,בבקשה
821,בוגדנות
822,בגד
823,להיבגד
824,בוגדני
825,לבגוד
826,בגין
827,בגלל
828,התבגרות
829,בגרות
830,מבוגר
831,להתבגר
832,שנית
833,שנית
834,שינית
835,שינית
836,לבגור
837,בגרוש
838,בד
839,לבדוא
840,לבודד
841,להתבודד
842,התבודדות
843,בידוד
844,בד
845,לבד
846,בודד
847,בדידות
848,לבדד
849,בדואי
850,בדולח
851,שנית
852,שנית
853,שינית
854,שינית
855,לבדח
856,להתבדח
857,בדיחה
858,בדחיפות
859,לבדות
860,בדייה
861,להיבדות
862,בדיון
863,בדוי
864,בדיוני
865,לבדות
866,להיבדל
867,בדלנות
868,הבדל
869,הבדלה
870,שנית
871,שנית
872,שינית
873,שינית
874,להבדיל
875,לבדל
876,להתבדל
877,בדלן
878,לבדוק
879,להיבדק
880,מבדק
881,בדיקה
882,מבדוק
883,להתבדר
884,בידור
885,לבדר
886,בהחלט
887,לבהות
888,בהכרח
889,שנית
890,שנית
891,שינית
892,שינית
893,להיבהל
894,מבוהל
895,תבהלה
896,להבהיל
897,להבהיל
898,בהלה
899,לבהול
900,בהמה
901,בהמה
902,בוהן
903,לבהוק
904,בוהק
905,להבהיק
906,בהקדם
907,להתבהר
908,שנית
909,שנית
910,שינית
911,שינית
912,בהירות
913,בהיר
914,להבהיר
915,בהתאם
916,לבוא
917,להביא
918,בא
919,מבוא
920,תבואה
921,ביאה
922,בובה
923,בוודאי
924,בוז
925,לבוז
926,להביך
927,שנית
928,שנית
929,שינית
930,שינית
931,מבוך
932,מבוכה
933,להיבוך
934,בול
935,להתבוסס
936,להביס
937,הבסה
938,תבוסה
939,בועה
940,בור
941,בור
942,בורסה
943,לבושש
944,לבוש
945,בושה
946,שנית
947,שנית
948,שינית
949,שינית
950,לבזבז
951,להתבזבז
952,ביזבוז
953,ביזה
954,לבזוז
955,בז
956,להתבזות
957,נבזה
958,בזוי
959,לבזות
960,בזכות
961,לבזוק
962,להבזיק
963,מבזק
964,לבזר
965,שנית
966,שנית
967,שינית
968,שינית
969,בזריזות
970,בחוץ
971,בחינם
972,לבחול
973,בחילה
974,להבחיל
975,לבחון
976,להיבחן
977,בוחן
978,מבחנה
979,בחינה
980,מבחן
981,אבחנה
982,הבחנה
983,להבחין
984,שנית
985,שנית
986,שינית
987,שינית
988,לבחור
989,להיבחר
990,בחירה
991,בחור
992,בחורה
993,לבחוש
994,להתבטא
995,התבטאות
996,מבטא
997,לבטא
998,ביטאון
999,בטיחות
1000,לבטוח
1001,לבטח
1002,בטח
1003,שנית
1004,שנית
1005,שינית
1006,שינית
1007,ביטוח
1008,אבטחה
1009,ביטחון
1010,בטוח
1011,מבטח
1012,להבטיח
1013,מובטח
1014,הבטחה
1015,בוטות
1016,ביטוי
1017,בוטה
1018,להתבטל
1019,מובטל
1020,אבטלה
1021,ביטול
1022,שנית
1023,שנית
1024,שינית
1025,שינית
1026,בטלן
1027,לבטל
1028,לבטול
1029,להתבטל
1030,בוטן
1031,ביטון
1032,בטן
1033,בטנה
1034,בטרם
1035,לבטוש
1036,ביוב
1037,ביותר
1038,ביחד
1039,לבייל
1040,לביים
1041,שנית
1042,שנית
1043,שינית
1044,שינית
1045,להבין
1046,התבוננות
1047,תובנה
1048,לבונן
1049,בין
1050,ביון
1051,לביין
1052,מובן
1053,תבונה
1054,להתבונן
1055,הבנה
1056,נבון
1057,בינה
1058,בינוני
1059,בינוני
1060,שנית
1061,שנית
1062,שינית
1063,שינית
1064,ביניים
1065,בינלאומי
1066,בינתיים
1067,לבייץ
1068,ביצה
1069,ביצירתיות
1070,בירה
1071,בירה
1072,להתבייש
1073,ביישן
1074,לבייש
1075,בית
1076,להתביית
1077,לביית
1078,בית גידול
1079,שנית
1080,שנית
1081,שינית
1082,שינית
1083,בית זיקוק
1084,בית כנסת
1085,בית ספר
1086,לבכות
1087,בכיין
1088,בכי
1089,לבכות
1090,בכייה
1091,להתבכיין
1092,בכלל
1093,בכנות
1094,ביכור
1095,בכור
1096,להבכיר
1097,בכיר
1098,שנית
1099,שנית
1100,שינית
1101,שינית
1102,לבכר
1103,בלבד
1104,לבלבל
1105,להתבלבל
1106,בילבול
1107,להבליג
1108,בלגן
1109,להתבלגן
1110,לבלגן
1111,מבולגן
1112,בלון
1113,להבליח
1114,לבלוט
1115,להתבלט
1116,בלוט
1117,שנית
1118,שנית
1119,שינית
1120,שינית
1121,בלוטה
1122,להבליט
1123,בליטה
1124,בלטה
1125,להתבלות
1126,לבלות
1127,בלי
1128,לבלות
1129,בילוי
1130,בלייזר
1131,התבוללות
1132,להתבולל
1133,לבלול
1134,להיבלם
1135,בלימה
1136,שנית
1137,שנית
1138,שינית
1139,שינית
1140,בלם
1141,בלם
1142,לבלום
1143,לבלוע
1144,להיבלע
1145,להבליע
1146,בולען
1147,בלעדי
1148,בלעדיות
1149,לבלף
1150,בלשת
1151,בלש
1152,בילוש
1153,לבלוש
1154,בלתי
1155,שנית
1156,שנית
1157,שינית
1158,שינית
1159,במבוק
1160,במהירות
1161,במהלך
1162,במטותא
1163,במאי
1164,במה
1165,במיוחד
1166,במעמד
1167,במקביל
1168,במקום
1169,בן
1170,בנזין
1171,לבנות
1172,להיבנות
1173,בנייה
1174,שנית
1175,שנית
1176,שינית
1177,שינית
1178,בנאי
1179,בינוי
1180,מובנה
1181,תבנית
1182,להבנות
1183,בניין
1184,בנוי
1185,מבנה
1186,בננה
1187,בנק
1188,בסדר
1189,להתבסס
1190,מבוסס
1191,בסיס
1192,בסיסי
1193,שנית
1194,שנית
1195,שינית
1196,שינית
1197,התבססות
1198,ביסוס
1199,לבסס
1200,בסתר
1201,לבעבע
1202,בעד
1203,בעוד
1204,לבעוט
1205,להיבעט
1206,בעיטה
1207,להיבעות
1208,בעיה
1209,בעל
1210,בעילה
1211,לבעול
1212,שנית
1213,שנית
1214,שינית
1215,שינית
1216,בעליל
1217,בעניין
1218,בעקבות
1219,בעקבות
1220,לבעור
1221,מבער
1222,להבעיר
1223,לבער
1224,תבערה
1225,בערך
1226,בעת
1227,להיבעת
1228,מבועת
1229,להבעית
1230,בפועל
1231,שנית
1232,שנית
1233,שינית
1234,שינית
1235,בפני
1236,בפנים
1237,לבצבץ
1238,בצל
1239,לבצע
1240,להתבצע
1241,ביצוע
1242,מבצע
1243,לבצוע
1244,להיבצע
1245,ביצה
1246,בוץ
1247,בצק
1248,בצק
1249,להתבצר
1250,שנית
1251,שנית
1252,שינית
1253,שינית
1254,להיבצר
1255,בצורת
1256,בצור
1257,מבצר
1258,לבצר
1259,לבצור
1260,בקיא
1261,בקבוק
1262,בקביעות
1263,בקלות
1264,לבקוע
1265,לבקע
1266,ביקוע
1267,להתבקע
1268,בקע
1269,שנית
1270,שנית
1271,שינית
1272,שינית
1273,התבקעות
1274,להיבקע
1275,להבקיע
1276,בוקר
1277,בקרה
1278,ביקור
1279,בקר
1280,ביקורתי
1281,לבקר
1282,ביקורת
1283,בקרב
1284,בקרוב
1285,להתבקש
1286,ביקוש
1287,בקשה
1288,שנית
1289,שנית
1290,שינית
1291,שינית
1292,לבקש
1293,בקתה
1294,לברוא
1295,להיברא
1296,בריאות
1297,הבראה
1298,בריא
1299,לברא
1300,בורא
1301,להבריא
1302,תברואה
1303,ברבור
1304,לברבר
1305,ברבור
1306,להתברבר
1307,שנית
1308,שנית
1309,שינית
1310,שינית
1311,בורג
1312,מברג
1313,להבריג
1314,להתברג
1315,ברד
1316,ברדק
1317,ברווז
1318,להבריז
1319,ברז
1320,ברזל
1321,לברוח
1322,להבריח
1323,ברית
1324,בריון
1325,בריכה
1326,שנית
1327,שנית
1328,שינית
1329,שינית
1330,להתבריין
1331,לברך
1332,להתברך
1333,ברכה
1334,ברוך
1335,ברך
1336,ברם
1337,ברצינות
1338,ברצף
1339,הברקה
1340,ברק
1341,מברק
1342,להבריק
1343,לברוק
1344,ברקת
1345,שנית
1346,שנית
1347,שינית
1348,שינית
1349,ברור
1350,לברר
1351,להתברר
1352,ברירה
1353,לבור
1354,בירור
1355,בררן
1356,ברירה
1357,מוברר
1358,מברשת
1359,להבריש
1360,בשביל
1361,לבשול
1362,להתבשל
1363,בישול
1364,שנית
1365,שנית
1366,שינית
1367,שינית
1368,בשל
1369,לבשל
1370,להבשיל
1371,להתבשם
1372,בושם
1373,בשם
1374,לבשם
1375,בשר
1376,בשרי
1377,לבשר
1378,להתבשר
1379,בשרני
1380,בת
1381,בתוך
1382,בתור
1383,שנית
1384,שנית
1385,שינית
1386,שינית
1387,בתוליות
1388,בתול
1389,בתולי
1390,לבתק
1391,לבתר
1392,גאווה
1393,לגאות
1394,להתגאות
1395,גאה
1396,גאון
1397,לגאול
1398,להיגאל
1399,גאולה
1400,לגבב
1401,גב
1402,שנית
1403,שנית
1404,שינית
1405,שינית
1406,גבה
1407,לגבוה
1408,גובה
1409,גבוה
1410,להגביה
1411,לגבות
1412,גיבוי
1413,לגבות
1414,להיגבות
1415,הגבלה
1416,גבול
1417,להגביל
1418,לגבל
1419,לגבול
1420,גבינה
1421,שנית
1422,שנית
1423,שינית
1424,שינית
1425,גבן
1426,גיבן
1427,גבס
1428,לגבס
1429,גבעה
1430,גבע
1431,גביע
1432,לגבור
1433,גיבור
1434,התגברות
1435,גבר
1436,גברתן
1437,גבורה
1438,להגביר
1439,להתגבר
1440,שנית
1441,שנית
1442,שינית
1443,שינית
1444,גברת
1445,להתגבש
1446,לגבש
1447,גיבוש
1448,גג
1449,לגגל
1450,להתגודד
1451,גדוד
1452,לגדוד
1453,גדה
1454,גדי
1455,לגדול
1456,גדולה
1457,גדילה
1458,גודל
1459,שנית
1460,שנית
1461,שינית
1462,שינית
1463,מגדל
1464,הגדלה
1465,מגדלת
1466,גדול
1467,אגודל
1468,להגדיל
1469,לגדל
1470,גידול
1471,לגדום
1472,להיגדם
1473,לגדוע
1474,להיגדע
1475,גידוף
1476,לגדף
1477,מגדר
1478,שנית
1479,שנית
1480,שינית
1481,שינית
1482,הגדרה
1483,גדר
1484,לגדר
1485,להגדיר
1486,לגדור
1487,להתגדר
1488,גדוש
1489,להגדיש
1490,להגדיש
1491,לגדוש
1492,מגהץ
1493,לגהץ
1494,גיהוץ
1495,לגהק
1496,לגהור
1497,שנית
1498,שנית
1499,שינית
1500,שינית
1501,גו
1502,להגיב
1503,תגובה
1504,מוגז
1505,לגוז
1506,להיגוז
1507,גוזל
1508,גומי
1509,מגוון
1510,לגוון
1511,גוון
1512,לגווע
1513,גוף
1514,להגיף
1515,גופה
1516,שנית
1517,שנית
1518,שינית
1519,שינית
1520,גופייה
1521,גופני
1522,לגור
1523,להתגורר
1524,גוש
1525,גושפנקה
1526,גז
1527,גזבר
1528,לגזוז
1529,להיגזז
1530,גז
1531,לגזול
1532,להיגזל
1533,גזל
1534,לגזום
1535,שנית
1536,שנית
1537,שינית
1538,שינית
1539,להיגזם
1540,להגזים
1541,הגזמה
1542,גזעי
1543,גזענות
1544,גזע
1545,גזען
1546,גיזרון
1547,נגזר
1548,גזיר
1549,גזרה
1550,גזר
1551,לגזור
1552,גזירה
1553,להיגזר
1554,שנית
1555,שנית
1556,שינית
1557,שינית
1558,לגחך
1559,לגחוך
1560,מגוחך
1561,להגחיך
1562,גחלת
1563,לגחול
1564,גחליל
1565,גחלילית
1566,גחמה
1567,לגחון
1568,גט
1569,גיא
1570,גיאומטריה
1571,גיד
1572,גיהנום
1573,שנית
1574,שנית
1575,שינית
1576,שינית
1577,להגיח
1578,גיחה
1579,לגיח
1580,לגיל
1581,גיל
1582,גיל
1583,גילדה
1584,לגייס
1585,להתגייס
1586,גיוס
1587,גיורת
1588,לגייר
1589,להתגייר
1590,גיור
1591,גיר
1592,שנית
1593,שנית
1594,שינית
1595,שינית
1596,להתגלגל
1597,גלגל
1598,גולגולת
1599,לגלגל
1600,גלגלון
1601,גלגילון
1602,גילגול
1603,להגליד
1604,גלידה
1605,גולה
1606,מגולוון
1607,לגלח
1608,להתגלח
1609,גילוח
1610,לגלות
1611,שנית
1612,שנית
1613,שינית
1614,שינית
1615,להיגלות
1616,גלויה
1617,תגלית
1618,גלות
1619,גלאי
1620,לגלות
1621,להגלות
1622,גילוי
1623,גלוי
1624,להתגלות
1625,גיליון
1626,לגולל
1627,להתגולל
1628,מגילה
1629,גל
1630,שנית
1631,שנית
1632,שינית
1633,שינית
1634,גלולה
1635,גליל
1636,לגלול
1637,להיגול
1638,גלילה
1639,גולם
1640,גולמי
1641,גלימה
1642,לגלם
1643,להתגלם
1644,להתגלע
1645,תגליף
1646,גלופה
1647,לגלף
1648,לגלוש
1649,שנית
1650,שנית
1651,שינית
1652,שינית
1653,גלישה
1654,להתגלש
1655,מגלשה
1656,גם
1657,לגמוא
1658,גומא
1659,גמבה
1660,לגמגם
1661,להתגמד
1662,לגמד
1663,לגמוז
1664,להיגמל
1665,גמל
1666,גמל
1667,תגמול
1668,שנית
1669,שנית
1670,שינית
1671,שינית
1672,לגמול
1673,גמלה
1674,גמלאי
1675,גמילה
1676,לגמור
1677,לגמרי
1678,גמור
1679,גמירה
1680,להיגמר
1681,לגמר
1682,להגמיש
1683,גמיש
1684,לגנוב
1685,להיגנב
1686,גניבה
1687,שנית
1688,שנית
1689,שינית
1690,שינית
1691,להגניב
1692,להתגנב
1693,גנוב
1694,לגנדר
1695,להתגנדר
1696,להיגנז
1697,לגנוז
1698,לגנוח
1699,גנטי
1700,גינוי
1701,לגנות
1702,לגונן
1703,להתגונן
1704,גינה
1705,גן
1706,שנית
1707,שנית
1708,שינית
1709,שינית
1710,מגן
1711,גנן
1712,לגון
1713,להגן
1714,לגנן
1715,הגנה
1716,גסות
1717,לגסוס
1718,גס
1719,לגעגע
1720,להתגעגע
1721,גיעגוע
1722,געגוע
1723,לגעות
1724,גועל
1725,שנית
1726,שנית
1727,שינית
1728,שינית
1729,להגעיל
1730,לגעול
1731,לגעור
1732,גערה
1733,געשיות
1734,לגעוש
1735,להתגעש
1736,געש
1737,געשי
1738,גף
1739,גפן
1740,לגפף
1741,גופרית
1742,גופר
1743,גפרור
1744,שנית
1745,שנית
1746,שינית
1747,שינית
1748,לגרוב
1749,גרב
1750,לגרגר
1751,גרגר
1752,גרגרי
1753,גירוד
1754,לגרד
1755,להתגרד
1756,גרוי
1757,גרון
1758,גרוני
1759,גרוש
1760,גירוז
1761,לגרז
1762,גרזן
1763,שנית
1764,שנית
1765,שינית
1766,שינית
1767,לגרות
1768,להתגרות
1769,גירוי
1770,אתגר
1771,גריז
1772,הגרלה
1773,גורל
1774,להגריל
1775,להיגרם
1776,לגרום
1777,להיגרס
1778,לגרוס
1779,גירסה
1780,לגרוע
1781,גרוע
1782,שנית
1783,שנית
1784,שינית
1785,שינית
1786,להיגרע
1787,גירעון
1788,גרעין
1789,גרעיני
1790,לגרוף
1791,להיגרף
1792,אגרוף
1793,גורף
1794,לגרף
1795,מגרפה
1796,להיגרר
1797,מגירה
1798,לגרר
1799,גרר
1800,לגרור
1801,שנית
1802,שנית
1803,שינית
1804,שינית
1805,לגרש
1806,להתגרש
1807,גירושים
1808,גרוש
1809,גרש
1810,מגרש
1811,להתגשם
1812,גשם
1813,התגשמות
1814,הגשמה
1815,להגשים
1816,גשום
1817,גשר
1818,לגשר
1819,לגשור
1820,שנית
1821,שנית
1822,שינית
1823,שינית
1824,להתגושש
1825,גישוש
1826,לגשש
1827,גשש
1828,גשוש
1829,לדאוב
1830,להדאיב
1831,לדאוג
1832,דאגה
1833,מודאג
1834,להדאיג
1835,דאז
1836,לדאות
1837,דאון
1838,דואר
1839,שנית
1840,שנית
1841,שינית
1842,שינית
1843,לדובב
1844,דיבה
1845,דוב
1846,דיבוב
1847,דובון
1848,לדבב
1849,לדבוב
1850,דבוראי
1851,דבורה
1852,לדבלל
1853,לדבוק
1854,להידבק
1855,מדבקה
1856,דביקות
1857,מידבק
1858,שנית
1859,שנית
1860,שינית
1861,שינית
1862,דבק
1863,דיבוק
1864,להדביק
1865,דביק
1866,הידבקות
1867,דיבר
1868,מדבר
1869,להידבר
1870,דבר
1871,להידבר
1872,דביר
1873,דבר
1874,דיבור
1875,לדבר
1876,להדביר
1877,שנית
1878,שנית
1879,שינית
1880,שינית
1881,הידברות
1882,דובר
1883,דוברת
1884,מדבר
1885,הדברה
1886,מדביר
1887,דבש
1888,לדגדג
1889,לדגול
1890,דגל
1891,דגול
1892,דגם
1893,לדגום
1894,מדוגם
1895,להדגים
1896,שנית
1897,שנית
1898,שינית
1899,שינית
1900,דוגמה
1901,דוגמן
1902,דוגמנית
1903,דוגמנות
1904,הדגמה
