,Gmatria Value,English,Hebrew
103,113,"['drain (e.g. sink, bath)']",אביק
104,213,"['knight', 'nobleman']",אביר
105,213,"['(Biblical) hero', '(Biblical) horse', 'war-horse']",אביר
106,619,"['chivalry', 'gallantry', 'knighthood']",אבירות
107,223,"['chivalrous', 'gallant', 'knightly']",אבירי
108,316,['Avishag (Hebrew name)'],אבישג
109,323,['Avishai (Hebrew name)'],אבישי
110,613,['Evyathar (Hebrew name)'],אביתר
111,23,"['haze', 'haziness']",אבך
112,28,['rising cloud of dust or haze'],אבכה
113,33,"['but', 'however']",אבל
114,33,"['mourning', 'sadness', '(Judaism) period of mourning']",אבל
115,33,"['mourner', 'grieving', 'mourning']",אבל
116,33,['(flowery) to mourn'],אבל
117,439,['mourning'],אבלות
118,53,['stone'],אבן
119,53,"['to petrify', 'immobilize', 'stun', 'to ossify', 'to turn to stone']",אבן
120,503,"[""philosophers' stone""]",אבן החכמים [הפילוסופים]
121,564,['(architecture) keystone'],אבן הראשה
122,808,"['grindstone', 'whetstone']",אבן משחזת
123,280,['Rosetta stone'],אבן רוזטה
124,109,['stone fish'],אבנון
125,62,['sash (clothing)'],אבנט
126,63,['stony'],אבני
127,103,"[""potter's wheel""]",אבנים
128,463,"['scale (e.g. boiler, kettle)']",אבנית
129,253,"['Avner', 'Abner (Hebrew name)']",אבנר
130,124,['absolute'],אבסולוטי
131,171,['absolutism'],אבסולוטיזם
132,273,['absurd'],אבסורד
133,283,['absurd'],אבסורדי
134,689,['absurdity'],אבסורדיות
135,381,['abstract'],אבסטרקט
136,391,['abstract'],אבסטרקטי
137,477,['abstraction'],אבסטרקציה
138,523,['absinthe'],אבסינת
139,156,"['blister', '(medical) vesicle']",אבעבועה
140,771,"['chicken pox', '(medical: varicella)']",אבעבועות רוח
141,88,"['(Aramaic) (literary) question', 'problem']",אבעיה
142,93,['zinc'],אבץ
143,153,['abscess'],אבצס
144,103,"['to powder', 'to dust']",אבק
145,103,"['to be powdered', 'to be dusted']",אבק
146,103,"['dust', 'hint of …']",אבק
147,688,['gunpowder'],אבק שרפה
148,108,"['powder', 'pollen']",אבקה
149,108,['buttonhole'],אבקה
150,169,['abacus'],אבקוס
151,179,['hatchling'],אבקוע
152,153,['(botany) stamen'],אבקן
153,163,['(botany) staminate'],אבקני
154,513,"['powdery', 'dusty']",אבקתי
155,203,"['limb', 'organ', '(literary) wing', '(colloquial) organ (penis)']",אבר
156,203,"['(talmudic, rare) lead']",אבר
157,208,"['plumes', 'pinion', '(Biblical) wing']",אברה
158,248,['Abraham (Hebrew name)'],אברהם
159,209,['Ebro (River in Spain)'],אברו
160,254,['bream (fish)'],אברומה
161,259,['organelle'],אברון
162,270,"['canvas', 'tarpaulin']",אברזין
163,223,['Yeshiva student'],אברך
164,514,['Abracadabra'],אברקדברה
165,503,['heather (plant)'],אברש
166,379,['Absalom (Hebrew name)'],אבשלום
167,15,['Aegean'],אגאי
168,6,"['by the way', 'incidentally', 'while', 'during']",אגב
169,11,['Agave (plant)'],אגבה
170,16,['incidental'],אגבי
171,8,"['(flowery) to bind', 'truss', 'tie up', 'to gather', 'unite', 'marshal']",אגד
172,8,"['to amalgamate', 'confederate', 'unite']",אגד
173,8,"['to be bundled', 'to be gathered together', 'to be united']",אגד
174,8,"['bandage', '(military) support unit', '(flowery) bundle', 'bunch']",אגד
175,13,"['legend', 'fairy tale', '(Judaism) Aggada (A type of Rabbinic literature)', '(slang) excellent', 'great', 'outstanding']",אגדה
176,13,"['association', 'society', '(literary, Biblical) bundle']",אגדה
177,13,['(military) division'],אגדה
178,18,"['fanciful', 'fictitious', 'mythical', 'renowned', 'legendary']",אגדי
179,418,"['legendary', 'fabled']",אגדתי
180,418,['societal'],אגדתי
181,418,['(military) divisional'],אגדתי
182,10,['ego'],אגו
183,68,['egoism'],אגואיזם
184,90,['egoist'],אגואיסט
185,100,['egoistic'],אגואיסטי
186,14,"['bundled', 'combined']",אגוד
187,14,"['organization', 'union']",אגוד
188,44,['thumb'],אגודל
189,17,['nut (fruit)'],אגוז
190,67,['peanut'],אגוז אדמה
191,433,['cashew nut'],אגוז קשיו
192,18,['(business and commerce) securitization'],אגוח
193,115,['egomania'],אגומניה
194,139,['agonist'],אגוניסט
195,90,"['(military) outflanking', 'flanking']",אגוף
196,369,['egocentric'],אגוצנטרי
197,775,['egocentricity'],אגוצנטריות
198,210,"['accumulated', 'amassed']",אגור
199,215,"['Agora (1/100 of Israeli shekel)', '(literary) small coin', 'penny']",אגורה
200,313,['agoraphobia'],אגורפוביה
201,24,['(colloquial) exhaust (of vehicle)'],אגזוז
202,18,['(rare) gill (of fish)'],אגיד
203,148,['Egyptologist'],אגיפטולוג
204,163,['Egyptology'],אגיפטולוגיה
205,219,"['hoarding', 'accumulation']",אגירה
206,34,['droplet'],אגל
207,214,['agglutination'],אגלוטינציה
208,44,['lake'],אגם
209,44,['Agam (Hebrew name)'],אגם
210,44,"['to impound water into a lake', 'to pool resources']",אגם
211,100,"['reed', 'bulrush (also: bullrush)']",אגמון
212,100,['small lake'],אגמון
213,54,"['bowl', 'basin', '(geography) basin', 'pelvis']",אגן
214,54,['flange'],אגן
215,600,['Mediterranean basin'],אגן הים התיכון
216,571,['drainage basin'],אגן הקוות
217,217,['catchment area'],אגן נקוז
218,139,['agnostic'],אגנוסטי
219,545,['agnosticism'],אגנוסטיות
220,286,['agnosticism'],אגנוסטיציזם
221,289,['agnostic'],אגנוסטיקן
222,464,"['shower tray', 'shower basin']",אגנית
223,64,"['pear', 'pear tree']",אגס
224,84,"['department', 'branch', 'wing (building)', '(military) flank', '(mathematics) member (of equation)', '(talmudic) wing (bird)']",אגף
225,84,['to outflank'],אגף
226,84,"['to outflank', 'to flank']",אגף
227,84,['to be outflanked'],אגף
228,279,['(military) Intelligence branch'],אגף המודיעין
229,94,"['flank', 'flanking']",אגפי
230,600,['agapanthus (plant)'],אגפנתוס
231,204,"['to accumulate', 'to hoard']",אגר
232,204,['agar (gelatinous substance)'],אגר
233,216,['aggregate'],אגרגט
234,422,['(computing) aggregator'],אגרגטור
235,312,['aggregation'],אגרגציה
236,209,"['fee', 'toll']",אגרה
237,210,['agro-'],אגרו
238,371,['agroecology'],אגרואקולוגיה
239,240,['egg roll'],אגרול
240,260,"['lexicon', 'thesaurus', 'dictionary']",אגרון
241,260,"['letter writing manual', 'correspondence text book']",אגרון
242,306,['agronomist'],אגרונום
243,316,"['agronomically', 'agriculturally']",אגרונומי
244,321,"['agronomy', 'agriculture']",אגרונומיה
245,290,"['fist', 'punch']",אגרוף
246,290,"['boxing', 'making a fist']",אגרוף
247,290,"['boxing', 'making a fist']",אגרוף
248,290,"['boxing', 'making a fist']",אגרוף
249,290,"['boxing', 'making a fist']",אגרוף
250,794,"['Thai boxing', 'kick boxing']",אגרוף תילנדי
251,340,"['brass knuckles', 'knuckle duster', 'boxer']",אגרופן
252,243,['vase'],אגרטל
253,254,['collector'],אגרן
254,254,['(computing) aggregator'],אגרן
255,286,"['aggressive', 'belligerent']",אגרסיבי
256,692,"['aggression', 'belligerence']",אגרסיביות
257,279,"['aggression', 'belligerence']",אגרסיה
258,284,['to make a fist'],אגרף
259,414,['agrarian'],אגררי
260,604,"['letter', 'missive']",אגרת
261,620,"['bond', 'debenture']",אגרת חוב
262,5,"['vapor', 'fume', 'steam', 'mist']",אד
263,116,['ad hoc'],אד הוק
264,10,"['to vaporize', 'evaporate', 'to simmer', 'poach']",אדה
265,10,"['to be vaporized', 'to evaporate']",אדה
266,32,['adhesion'],אדהזיה
267,16,"['ripple', 'wavelet']",אדוה
268,16,['Advah (Hebrew name)'],אדוה
269,21,"['evaporation', 'vaporization', 'simmering', 'poaching']",אדוי
270,51,"['Edom (Biblical country)', 'Edomites (Biblical nation)']",אדום
271,61,['Edomite'],אדומי
272,61,['Edomite (noun)'],אדומי
273,61,"['(archaic) Mr.', 'master', 'lord', 'אדוני - Sir']",אדון
274,149,['Adventist'],אדונטיסט
275,131,['Adonis'],אדוניס
276,471,"['(literary) lady', 'mistress']",אדונית
277,683,"['our master', 'teacher and rabbi']",אדוננו מורנו ורבנו
278,111,"['(archaic) religious', 'observant', 'God-fearing', 'fervent', 'intense', 'enthusiastic']",אדוק
279,311,['passivation'],אדוש
280,37,['adiabatic'],אדיאבטי
281,17,"['polite', 'courteous', 'obliging']",אדיב
282,423,"['politeness', 'courtesy', 'mannerliness']",אדיבות
283,46,['additive'],אדיטיבי
284,452,['additivity'],אדיטיביות
285,55,"['steam', 'fumes', 'vapor']",אדים
286,279,['Edinburgh'],אדינבורו
287,85,['Addis Ababa (also: Addis Abeba)'],אדיס אבבה
288,161,['Oedipus'],אדיפוס
289,135,['oedipal'],אדיפלי
290,521,"['devotion', 'fervor', 'allegiance', 'piety', 'godliness', 'devoutness']",אדיקות
291,215,"['great', 'powerful', 'mighty', '(slang) marvelous', 'wonderful', 'impressive']",אדיר
292,215,['Adir (Hebrew name)'],אדיר
293,621,"['might', 'strength', 'power']",אדירות
294,315,"['apathetic', 'indifferent', '(chemistry) inert']",אדיש
295,721,"['apathy', 'indifference']",אדישות
296,49,['Adelaide (city)'],אדליד
297,45,['red'],אדם
298,45,['red (noun)'],אדם
299,45,"['man', 'person', 'human being', 'someone', 'somebody', 'האדם - mankind', 'humanity']",אדם
300,45,['Adam (Hebrew name)'],אדם
301,45,"['red', '(colloquial) Lipstick', 'ruby (precious stone)']",אדם
302,45,['to become red'],אדם
303,89,"['reddish', 'red-like']",אדמדם
304,495,['redness'],אדמדמות
305,489,"['(medicine) roseola infantum', 'exanthem subitum', '(archaic) rubella', 'German measles']",אדמדמת
306,50,"['land', 'earth', 'soil', 'ground (noun)', 'plot (land)']",אדמה
307,101,"['ruddy', 'reddish']",אדמומי
308,507,"['redness', 'ruddiness']",אדמומיות
309,501,['(literary) redness'],אדמומית
310,166,['Edmonton (city)'],אדמונטון
311,111,"['ruddy', 'rubicund', '(literary) red']",אדמוני
312,511,['peony'],אדמונית
313,501,['redness'],אדמימות
314,599,['administrator'],אדמיניסטרטור
315,415,['administrative'],אדמיניסטרטיבי
316,489,['administration'],אדמיניסטרציה
317,285,['admiral'],אדמירל
318,691,['admiralship'],אדמירלות
319,701,"['Admiralty', 'The Admiralty']",אדמירליות
320,90,"['edamame', 'green soybeans']",אדממה
321,495,['erythema'],אדמנת
322,445,"['rubella', 'German measles']",אדמת
323,55,"['windowsill', 'railway sleeper', '(flowery) base', 'foundation']",אדן
324,106,['adenoma (tumor)'],אדנומה
325,461,"['authority', 'rule (noun)', 'reign']",אדנות
326,471,"['ruling', 'sovereign']",אדנותי
327,65,"['God', 'the Lord']",אדני
328,465,"['planter', 'window box']",אדנית
329,153,['adaptogen (anti-stress herb)'],אדפטוגן
330,300,['adaptor'],אדפטור
331,116,['adaptive'],אדפטיבי
332,199,['adaptation'],אדפטציה
333,130,['adequate'],אדקוטי
334,205,['Adar (sixth month in Hebrew calendar)'],אדר
335,205,['maple (tree)'],אדר
336,205,['hide (of stuffed animal)'],אדר
337,206,['(Aramaic) meeting (of Kabbala scholars)'],אדרא
338,212,"['on the contrary', 'as a matter of fact', 'why not? good idea!']",אדרבה
339,210,"['fishbone', 'fish skeleton']",אדרה
340,626,['Adriatic'],אדריאתי
341,265,"['architect', 'creator', 'prime mover', 'originator']",אדריכל
342,671,['architecture'],אדריכלות
343,275,['architectural'],אדריכלי
344,285,['adrenal'],אדרנל
345,345,"['adrenaline (also: adrenalin)', 'zest', 'energy', 'verve', 'vitality']",אדרנלין
346,605,"['robe', 'cloak']",אדרת
347,371,['apathetic'],אדשוני
348,6,"['ah! I see', 'eh?']",אה
349,8,"['to like', 'to love']",אהב
350,13,"['love (noun)', 'devotion', 'fondness', 'passion', 'באהבה - with love']",אהבה
351,65,['flirtation'],אהבהבים
352,38,"['(slang) fool', 'idiot']",אהבל
353,10,"['to sympathize', 'to side with']",אהד
354,10,['Ohad (Hebrew name)'],אהד
355,24,"['(flowery) interrelated', 'mutually']",אהדדי
356,15,"['sympathy', 'amity', 'friendliness', 'fondness']",אהדה
357,11,"['Aha!', '(flowery) Oh no!', 'Woe is me!']",אהה
358,11,['(rare) to wail'],אהה
359,14,"['beloved', 'favorite', 'popular']",אהוב
360,14,['beloved (male)'],אהוב
361,19,"['beloved (female)', 'lover', 'אהובתי - My dearest']",אהובה
362,16,['Ehud (Hebrew name)'],אהוד
363,16,"['admired', 'cherished']",אהוד
364,46,['lampshade'],אהיל
365,36,['aloe (plant)'],אהל
366,36,['tent'],אהל
367,86,['(slang) (Arabic) hi! hello!'],אהלן
368,256,"['Aharon', 'Aaron (Hebrew name)']",אהרן
369,7,['or'],או
370,117,['(colloquial) O.K.'],או קי
371,85,['oasis'],אואזיס
372,9,"['ob', 'a ghost']",אוב
373,13,"['lost', 'missing']",אובד
374,26,['obese'],אובזי
375,432,['obesity'],אובזיות
376,128,['object (noun)'],אוביקט
377,140,['(optics) objective'],אוביקטיב
378,150,['objective'],אוביקטיבי
379,556,['objectivity'],אוביקטיביות
380,433,['objectification'],אוביקטיפיקציה
381,49,['oval'],אובלי
382,67,['(music) obbligato'],אובליגטו
383,277,['obligatory'],אובליגטורי
384,157,"['bond', 'debenture', 'obligation', 'commitment']",אובליגציה
385,209,['obelisk'],אובליסק
386,151,['obsessive'],אובססיבי
387,557,['obsessiveness'],אובססיביות
388,144,['obsession'],אובססיה
389,502,['overdraft'],אוברדרפט
390,245,['overall (clothing)'],אוברול
391,245,"['(colloquial) overhaul (engine, appliance)']",אוברול
392,429,['overture'],אוברטורה
393,10,['(talmudic) sumac'],אוג
394,14,['(grammar) copula'],אוגד
395,14,"['encircling', 'wrap-around']",אוגד
396,64,"['(colloquial) ring binder', 'file', '(computing) folder']",אוגדן
397,85,['August'],אוגוסט
398,214,['augmentation'],אוגמנטציה
399,69,['Uganda'],אוגנדה
400,74,['Ugandan'],אוגנדי
401,74,['Ugandan'],אוגנדי
402,210,['hamster'],אוגר
403,210,['(computing) register'],אוגר
404,620,['Ugarit'],אוגרית
405,1030,['Ugaritic (language)'],אוגריתית
406,11,"['firebrand', 'partly burned wood']",אוד
407,68,['odeum'],אודאון
408,16,['ode'],אודה
409,417,"['about', 'with regard to', 'concerning']",אודות
410,21,['Udi (Hebrew name)'],אודי
411,27,['audio'],אודיו
412,27,['audio-'],אודיו
413,66,['(medicine) audiologist'],אודיולוג
414,276,['audiometer'],אודיומטר
415,292,['auditorium'],אודיטוריום
416,87,['odyssey'],אודיסאה
417,371,['(colloquial) audition'],אודישן
418,76,['Odessa (Ukrainian city)'],אודסה
419,12,"['(flowery) to desire', 'to want']",אוה
420,12,"['(flowery) lust', 'passion']",אוה
421,14,"['lover', 'lover of', 'aficionado', 'friend', 'comrade']",אוהב
422,16,"['supporter', 'adherent', '(sport) fan']",אוהד
423,16,"['supportive', 'supporting']",אוהד
424,18,"['Wow! Gosh!', 'Oh boy!']",אוהו
425,28,['Ohio'],אוהיו
426,23,"['(flowery) desire', 'craving', 'yearning', '(linguistics) optative']",אווי
427,14,"['goose', 'gander (as opposed to female goose)']",אוז
428,126,['Uzbek (person)'],אוזבקי
429,126,['Uzbek'],אוזבקי
430,245,['Uzbekistan'],אוזבקיסטן
431,526,['Uzbek (language)'],אוזבקית
432,19,['goose (female)'],אוזה
433,20,['ouzo (liqueur)'],אוזו
434,70,['ozone'],אוזון
435,70,['gosling'],אוזון
436,464,['(slang) chick (young girl)'],אוזנת
437,15,['eagle owl'],אוח
438,22,['(colloquial) automobile'],אוטו
439,22,"['auto- (autoemancipation, autosemantic, autorotation)']",אוטו
440,139,['(medicine) autoimmune'],אוטואימוני
441,545,['(medicine) autoimmunity'],אוטואימוניות
442,398,['auto-emancipation'],אוטואמנציפציה
443,90,"['bus', 'coach (British)']",אוטובוס
444,323,['autobiographer'],אוטוביוגרף
445,333,['autobiographical'],אוטוביוגרפי
446,338,['autobiography'],אוטוביוגרפיה
447,149,"['autodidact', 'self-educated person']",אוטודידקט
448,27,['Ottawa'],אוטוה
449,317,['(biology) autotroph (an organism capable of synthesizing its own food)'],אוטוטרוף
450,327,['(biology) autotrophic'],אוטוטרופי
451,110,['automobile'],אוטומוביל
452,71,"['automat', 'vending machine', 'automaton']",אוטומט
453,81,"['automatic', 'automated', 'involuntary', 'instinctive', 'inevitable', 'inescapable']",אוטומטי
454,481,['automatically'],אוטומטית
455,167,"['automation', 'mechanization']",אוטומציה
456,128,"['autonomous', 'independent']",אוטונומי
457,133,['autonomy'],אוטונומיה
458,175,['autosuggestion'],אוטוסוגסטיה
459,300,"['(Italian) autostrada', 'motorway', 'freeway']",אוטוסטרדה
460,268,['otoscope'],אוטוסקופ
461,112,['utopian'],אוטופי
462,117,['utopia'],אוטופיה
463,181,['utopian (person) (noun)'],אוטופיסט
464,154,"['autoclave', 'sterilizer']",אוטוקלב
465,331,['autocrat'],אוטוקרט
466,341,['autocratic'],אוטוקרטי
467,346,['autocracy'],אוטוקרטיה
468,451,['authoritarian'],אוטוריטרי
469,73,['autism'],אוטיזם
470,95,['(Psychiatry) autistic person'],אוטיסט
471,105,['autistic'],אוטיסטי
472,216,['(computing) avatar'],אוטר
473,326,['autarkic (also: autarchic)'],אוטרקי
474,331,['autarky (also: autarchy)'],אוטרקיה
475,17,"['oh', 'ah', 'wow', 'oh my', 'ouch']",אוי
476,19,"['enemy', 'foe', 'opponent', 'rival']",אויב
477,425,"['enmity', 'hatred', 'hostility']",אויבות
478,236,"['Uigur', 'Uigurean']",אויגורי
479,636,['Uigur (language)'],אויגורית
480,22,"['(flowery) oh', 'ah', 'oh my']",אויה
481,188,['avionics'],אויוניקה
482,47,"['(flowery) fool', 'stupid person']",אויל
483,453,"['stupidity', 'foolishness']",אוילות
484,57,"['stupid', 'foolish']",אוילי
485,217,"['air', 'באוויר - (slang) Unrealistic', 'impracticable', 'באוויר - (colloquial) On the air (broadcast)']",אויר
486,228,['airman'],אויראי
487,222,"['atmosphere', 'mood', 'ambience', 'aura']",אוירה
488,223,['aero-'],אוירו
489,244,['aerobatic'],אוירובטי
490,349,['aerobatics'],אוירובטיקה
491,337,['aerodynamic'],אוירודינמי
492,442,['aerodynamics'],אוירודינמיקה
493,273,"['airplane', 'aircraft']",אוירון
494,299,['aeronautical'],אוירונאוטי
495,404,['aeronautics'],אוירונאוטיקה
496,227,['aerial'],אוירי
497,232,['air fleet'],אויריה
498,277,['aerobic'],אוירני
499,387,['ochlocracy'],אוכלוקרטיה
500,232,['ochre (also: ocher)'],אוכרה
501,151,['ultimatum'],אולטימטום
502,127,['ultimate'],אולטימטיבי
503,251,['(Latin) ultra-'],אולטרה
504,367,['ultrasound'],אולטרסאונד
505,47,"['perhaps', 'maybe']",אולי
506,172,['oligopoly'],אוליגופול
507,270,['oligarch'],אוליגרך
508,280,['oligarchic'],אוליגרכי
509,285,['oligarchy'],אוליגרכיה
510,233,['Olympus'],אולימפוס
511,177,['Olympic'],אולימפי
512,187,['Olympic games'],אולימפיאדה
513,77,"['hall', 'theater', 'vestibule']",אולם
514,77,"['however', 'but', 'nevertheless']",אולם
515,143,['ulmus (elm)'],אולמוס
516,304,['Ulan Bator (capital of Mongolia)'],אולן בטור
517,203,['(medicine) ulcer'],אולקוס
518,237,"['penknife', 'pocket knife']",אולר
519,437,"['stupidity', 'foolishness']",אולת
520,47,['(electricity) ohm'],אום
521,209,['ombudsman'],אומבודסמן
522,55,['Omega - the twenty-fourth (last) letter in the Greek alphabet'],אומגה
523,55,"['zip-line', '(Australian) flying fox (a cable mechanism for transportation across a river or gorge', 'a similar mechanism down which people slide)']",אומגה
524,413,['omicron (the fifteenth letter of the Greek alphabet)'],אומיקרון
525,86,['omelet'],אומלט
526,97,"['umami', 'the fifth taste', 'savory taste']",אוממי
527,97,['foster parent'],אומן
528,102,"['(architecture) pier', 'pillar']",אומנה
529,315,['omnivore'],אומניבור
530,271,['omnipotent'],אומניפוטנטי
531,677,['omnipotence'],אומניפוטנטיות
532,497,"['nanny', 'nursemaid', 'nurse']",אומנת
533,247,"['someone who said something', 'the one who said']",אומר
534,57,"['(literary) power', 'strength', 'vitality', 'sexual potency']",און
535,57,"['evil', 'wickedness']",און
536,100,['evangelical'],אונגלי
537,156,['gospel'],אונגליון
538,147,['evangelism'],אונגליזם
539,264,['avant-garde'],אונגרד
540,274,['avant-garde'],אונגרדי
541,204,['onomatopoeia'],אונומטופאה
542,209,['onomatopoeic'],אונומטופאי
543,213,['onomatopoeia'],אונומטופיה
544,182,['onomastic (relating to names)'],אונומסטי
545,338,['onomasticon'],אונומסטיקון
546,463,['sexual potency'],אונות
547,137,['(biology) ontogenesis'],אונטוגנזה
548,121,['ontological'],אונטולוגי
549,126,['ontology'],אונטולוגיה
550,282,['Ontario'],אונטריו
551,359,['University'],אוניברסיטאי
552,353,['university'],אוניברסיטה
553,369,['universal'],אוניברסלי
554,775,['universality'],אוניברסליות
555,416,['universalism'],אוניברסליזם
556,286,['unitary'],אוניטרי
557,147,['online'],אונלין
558,107,"['to masturbate', '(slang) to laze', 'to be indolent']",אונן
559,107,['(rare) mourner'],אונן
560,513,"['masturbation', '(slang) Indolence', 'slapdash work']",אוננות
561,223,"['UNESCO (United Nations Educational Scientific, Cultural Organization)']",אונסקו
562,217,['oncology'],אונקולוגיה
563,172,['ounce'],אונקיה
564,452,['osteoporosis'],אוסטאופורוזיס
565,563,['osteopath'],אוסטאופת
566,578,['osteopathy'],אוסטאופתיה
567,282,['Austro-'],אוסטרו
568,286,['Austrian (person)'],אוסטרי
569,286,['Austrian'],אוסטרי
570,291,['Austria'],אוסטריה
571,316,['Australian (person)'],אוסטרלי
572,316,['Australian'],אוסטרלי
573,321,['Australia'],אוסטרליה
574,432,['ostracon'],אוסטרקון
575,359,['oscilloscope'],אוסילוסקופ
576,322,['oscillator'],אוסילטור
577,103,['Oslo'],אוסלו
578,125,['osmosis'],אוסמוזה
579,132,['osmotic'],אוסמוטי
580,163,['osmium'],אוסמיום
581,449,['oscilloscope'],אוסצילוסקופ
582,172,['Osaka'],אוסקה
583,367,['Oscar (Academy award)'],אוסקר
584,87,['(colloquial) Ugh! Phew!'],אוף
585,92,['baker'],אופה
586,215,"['opposition (Political)', 'opposition', 'antagonism']",אופוזיציה
587,276,"['oppositional', 'opposing', 'objecting']",אופוזיציוני
588,466,['oppositionist'],אופוזיציונר
589,153,['opus'],אופוס
590,199,['opossum'],אופוסום
591,415,['opportunism'],אופורטוניזם
592,437,['opportunist'],אופורטוניסט
593,447,['opportunistic'],אופורטוניסטי
594,303,['euphoric'],אופורי
595,308,['euphoria'],אופוריה
596,366,['optometry'],אופטומטריה
597,430,['optometrist'],אופטומטריסט
598,106,['optical'],אופטי
599,192,['optimum'],אופטימום
600,156,['optimistic'],אופטימי
601,562,['optimism'],אופטימיות
602,203,['optimism'],אופטימיזם
